snf_grant_number;year;research_area;amount_granted;role;research_institution;research_institution_type;country;iso_code;continent;partner_budget;world_region;person_id
179018;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Australia;AU;Oceania;NA;Oceania;8998
201137;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Canada;CA;North America;NA;North America;14862
175794;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;2206
197009;2020;Biology and Medicine;NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;11958
178930;2018;"Mathematics, Natural and
Engineering Sciences";1200000;Co-applicants;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;10148
172945;2017;Humanities and Social Sciences;428055;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;14136
176339;2017;Humanities and Social Sciences;606106;Applicant;University of Applied Sciences and Arts of Southern Switzerland – SUPSI;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;10798
173412;2017;Humanities and Social Sciences;194505;Co-applicants;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;5516
176378;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Norway;NO;Europe;NA;Europe;1969
212455;2022;Humanities and Social Sciences;735000;Applicant;Università della Svizzera italiana – USI;Cantonal University;Switzerland;CH;Europe;NA;Europe;7242
172604;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;1644
204491;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;7484
204691;2021;Humanities and Social Sciences;875162;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;10549
172587;2017;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Spain;ES;Europe;NA;Europe;3354
197369;2020;"Mathematics, Natural and
Engineering Sciences";474928;Co-applicants;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;12728
176191;2017;Biology and Medicine;NA;Projektpartner;NA;NA;Brazil;BR;South America;NA;Latin America;3644
212485;2022;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;14913
197138;2020;"Mathematics, Natural and
Engineering Sciences";453928;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;13442
200512;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;7072
188914;2019;"Mathematics, Natural and
Engineering Sciences";499991;Co-applicants;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9989
182864;2018;"Mathematics, Natural and
Engineering Sciences";730719;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;12072
176123;2017;Biology and Medicine;NA;Projektpartner;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;13183
192544;2020;Biology and Medicine;412569;Applicant;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;13006
173198;2017;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;11630
185202;2019;Humanities and Social Sciences;372904;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;10517
204692;2021;Humanities and Social Sciences;780000;Applicant;Zurich University of Applied Sciences – ZHAW;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;16410
192225;2020;"Mathematics, Natural and
Engineering Sciences";526485;Applicant;Swiss Federal Laboratories for Materials Science and Technology – EMPA;ETH domain;Switzerland;CH;Europe;NA;Europe;3265
184918;2019;Biology and Medicine;NA;Projektpartner;NA;NA;Germany;DE;Europe;NA;Europe;2184
207997;2022;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;982
182653;2018;"Mathematics, Natural and
Engineering Sciences";928142;Co-applicants;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;1054
204093;2021;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;16079
200532;2021;Biology and Medicine;632000;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;1350
179132;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;8262
197366;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;10969
200958;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;14110
179443;2018;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;378
197964;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;10532
175673;2017;"Mathematics, Natural and
Engineering Sciences";245888;Applicant;NA;NA;Germany;DE;Europe;NA;Europe;11269
185226;2019;Biology and Medicine;846720;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;5379
189206;2019;Biology and Medicine;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;2561
179500;2018;Biology and Medicine;639562;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;4982
207739;2022;"Mathematics, Natural and
Engineering Sciences";866740;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;10289
204495;2021;Humanities and Social Sciences;1389072;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;5680
179249;2018;Biology and Medicine;NA;Projektpartner;NA;NA;Ireland;IE;Europe;NA;Europe;1875
172814;2017;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;9721
188931;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;United States of America;US;North America;NA;North America;15462
182400;2018;"Mathematics, Natural and
Engineering Sciences";955855;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;3489
173319;2017;Biology and Medicine;793766;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;9344
192832;2020;Humanities and Social Sciences;NA;Projektpartner;Berne University of Applied Sciences – BFH;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;2112
175816;2017;Humanities and Social Sciences;298675;Applicant;Pädagogische Hochschule Zug – PHZG;University of Teacher Education;Switzerland;CH;Europe;NA;Europe;729
178962;2018;"Mathematics, Natural and
Engineering Sciences";571060;Applicant;Paul Scherrer Institute – PSI;ETH domain;Switzerland;CH;Europe;NA;Europe;7460
182847;2018;Humanities and Social Sciences;829361;Co-applicants;NA;NA;United Kingdom;GB;Europe;NA;Europe;14964
192051;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Austria;AT;Europe;NA;Europe;8381
197524;2020;Biology and Medicine;632000;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;15111
207348;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;1024
212336;2022;Humanities and Social Sciences;793397;Applicant;Graduate Institute of International and Development Studies – IHEID;Other research institutions;Switzerland;CH;Europe;NA;Europe;879
192583;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Spain;ES;Europe;NA;Europe;5667
175796;2017;"Mathematics, Natural and
Engineering Sciences";337836;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;264
201113;2021;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Finland;FI;Europe;NA;Europe;4748
204631;2021;"Mathematics, Natural and
Engineering Sciences";469996;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;11491
175556;2017;Biology and Medicine;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;11825
192750;2020;Humanities and Social Sciences;NA;Projektpartner;NA;NA;France;FR;Europe;NA;Europe;900
188533;2019;"Mathematics, Natural and
Engineering Sciences";480700;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;6402
200828;2021;Humanities and Social Sciences;NA;Projektpartner;University of Applied Sciences and Arts Western Switzerland – HES-SO;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;15314
197006;2020;"Mathematics, Natural and
Engineering Sciences";1100000;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;2005
208154;2022;Biology and Medicine;678898;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;9413
197723;2020;Biology and Medicine;516000;Applicant;Institute Friedrich Miescher – FMI;Other research institutions;Switzerland;CH;Europe;NA;Europe;9043
188548;2019;Biology and Medicine;1344000;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;16091
179133;2018;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Australia;AU;Oceania;NA;Oceania;7509
185384;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Senegal;SN;Africa;NA;Africa;6879
185229;2019;Biology and Medicine;384736;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;6187
212066;2022;"Mathematics, Natural and
Engineering Sciences";525928;Applicant;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;7920
212764;2022;Biology and Medicine;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;11142
185460;2019;Humanities and Social Sciences;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;13177
212826;2022;Humanities and Social Sciences;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1454
173231;2017;Humanities and Social Sciences;214059;Applicant;Lucerne University of Applied Sciences and Arts – HSLU;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;6294
192064;2020;"Mathematics, Natural and
Engineering Sciences";717502;Applicant;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;14851
212752;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Denmark;DK;Europe;NA;Europe;4890
184807;2019;Biology and Medicine;538606;Applicant;University of Fribourg – FR;Cantonal University;Switzerland;CH;Europe;NA;Europe;15613
189125;2019;Biology and Medicine;NA;Projektpartner;NA;NA;United Kingdom;GB;Europe;NA;Europe;7006
196889;2020;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;Companies/  Private Industry – FP;Other research institutions;Switzerland;CH;Europe;NA;Europe;12324
184717;2019;Biology and Medicine;NA;Projektpartner;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;1316
212136;2022;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;4538
172676;2017;Biology and Medicine;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;5755
204240;2021;"Mathematics, Natural and
Engineering Sciences";820928;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;7233
178949;2018;"Mathematics, Natural and
Engineering Sciences";660863;Applicant;University of Zurich – ZH;Cantonal University;Switzerland;CH;Europe;NA;Europe;6675
200840;2021;Humanities and Social Sciences;875874;Co-applicants;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;7386
197477;2020;Biology and Medicine;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;11521
173123;2017;Biology and Medicine;700000;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;10577
179190;2018;Biology and Medicine;800000;Applicant;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;9260
188642;2019;Biology and Medicine;NA;Projektpartner;ETH Zurich – ETHZ;ETH domain;Switzerland;CH;Europe;NA;Europe;11524
185315;2019;Biology and Medicine;255375;Co-applicants;Fernfachhochschule Schweiz (member of SUPSI) – FFHS;University of Applied Sciences;Switzerland;CH;Europe;NA;Europe;10726
179466;2018;Biology and Medicine;NA;Projektpartner;Other Hospitals – ASPIT;Other research institutions;Switzerland;CH;Europe;NA;Europe;13687
204069;2021;"Mathematics, Natural and
Engineering Sciences";1212359;Applicant;University of Basel – BS;Cantonal University;Switzerland;CH;Europe;NA;Europe;11497
179219;2018;Humanities and Social Sciences;329767;Applicant;Swiss Federal Institute of Aquatic Science and Technology – EAWAG;ETH domain;Switzerland;CH;Europe;NA;Europe;15677
192086;2020;"Mathematics, Natural and
Engineering Sciences";537179;Applicant;EPF Lausanne – EPFL;ETH domain;Switzerland;CH;Europe;NA;Europe;14212
188757;2019;"Mathematics, Natural and
Engineering Sciences";NA;Projektpartner;NA;NA;Italy;IT;Europe;NA;Europe;12365
201142;2021;Humanities and Social Sciences;NA;Projektpartner;Haute école pédagogique du canton de Vaud – HEPL;University of Teacher Education;Switzerland;CH;Europe;NA;Europe;10410
182014;2018;"Mathematics, Natural and
Engineering Sciences";246384;Applicant;Swiss Federal Laboratories for Materials Science and Technology – EMPA;ETH domain;Switzerland;CH;Europe;NA;Europe;4180
185308;2019;Biology and Medicine;NA;Projektpartner;Non-profit organisations (libraries, museums, foundations) and administration – NPO;Other research institutions;Switzerland;CH;Europe;NA;Europe;9906
175708;2017;Humanities and Social Sciences;378160;Applicant;Graduate Institute of International and Development Studies – IHEID;Other research institutions;Switzerland;CH;Europe;NA;Europe;8909
212727;2022;"Mathematics, Natural and
Engineering Sciences";952300;Applicant;University of Berne – BE;Cantonal University;Switzerland;CH;Europe;NA;Europe;3271
189407;2019;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Portugal;PT;Europe;NA;Europe;7838
182173;2018;Humanities and Social Sciences;NA;Projektpartner;NA;NA;Norway;NO;Europe;NA;Europe;12542
192168;2020;Humanities and Social Sciences;NA;Projektpartner;University of Lausanne – LA;Cantonal University;Switzerland;CH;Europe;NA;Europe;16169
184713;2019;Biology and Medicine;NA;Projektpartner;University of Geneva – GE;Cantonal University;Switzerland;CH;Europe;NA;Europe;15396
